[2020-12-25 12:45:18,808] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:45:18,889] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:46:32,394] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:46:32,423] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:47:09,768] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:47:09,790] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:48:00,790] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:48:00,812] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:49:05,945] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:49:05,964] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:49:16,919] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:49:16,936] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:53:42,173] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 12:53:42,174] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:53:42,211] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 12:53:54,189] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 12:53:54,204] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:53:54,253] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 12:54:02,998] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 12:54:03,001] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:54:03,052] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 12:54:12,345] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 12:54:12,388] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:54:12,521] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 12:54:23,764] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 12:54:23,770] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:54:23,798] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 12:58:27,881] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:58:28,107] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:58:35,972] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 12:58:36,034] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:58:36,151] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 13:01:55,619] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 13:01:55,638] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 13:02:36,971] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 13:02:37,010] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 13:03:05,944] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 13:03:05,975] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 13:03:31,506] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 13:03:31,575] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 13:07:45,178] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 13:07:45,319] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
